fecha;estacion004;estacion008;estacion011;estacion035;estacion038;estacion039;estacion047;estacion048;estacion049;estacion050
08/15/2017;20.0;33.0;12.0;27.0;12.0;12.0;12.0;13.0;7.0;18.0
08/16/2017;48.0;55.0;44.0;48.0;35.0;30.0;32.0;35.0;23.0;33.0
08/17/2017;42.0;50.0;39.0;44.0;32.0;29.0;35.0;33.0;19.0;29.0
08/18/2017;56.0;64.0;47.0;59.0;43.0;37.0;46.0;40.0;32.0;42.0
08/19/2017;26.0;33.0;19.0;38.0;19.0;15.0;19.0;10.0;8.0;13.0
08/20/2017;28.0;34.0;17.0;36.0;19.0;14.0;20.0;10.0;11.0;13.0
08/21/2017;32.0;43.0;33.0;40.0;25.0;25.0;28.0;26.0;19.0;24.0
08/22/2017;35.0;44.0;30.0;40.0;26.0;20.0;22.0;26.0;13.0;31.0
08/23/2017;55.0;72.0;46.0;51.0;42.0;37.0;44.0;46.0;35.0;47.0
08/24/2017;48.0;61.0;36.0;42.0;32.0;30.0;32.0;34.0;20.0;38.0
08/25/2017;51.0;67.0;39.0;47.0;33.0;31.0;50.0;41.0;30.0;45.0
08/26/2017;51.0;56.0;46.0;38.0;33.0;42.0;38.0;30.0;41.0
08/27/2017;27.0;31.0;17.0;28.0;15.0;11.0;18.0;14.0;11.0;16.0
08/28/2017;34.0;45.0;34.0;40.0;32.0;19.0;36.0;27.0;24.0;31.0
08/29/2017;34.0;40.0;26.0;35.0;28.0;18.0;26.0;24.0;16.0;28.0
08/30/2017;33.0;44.0;30.0;34.0;26.0;21.0;26.0;29.0;19.0;33.0
08/31/2017;27.0;38.0;24.0;35.0;31.0;14.0;22.0;17.0;14.0;26.0
09/01/2017;23.0;33.0;17.0;35.0;27.0;13.0;23.0;11.0;14.0;16.0
09/02/2017;33.0;38.0;34.0;36.0;30.0;21.0;27.0;26.0;17.0;21.0
09/03/2017;47.0;66.0;41.0;49.0;45.0;40.0;44.0;40.0;35.0;31.0
09/04/2017;34.0;46.0;30.0;37.0;28.0;21.0;27.0;22.0;18.0;18.0
09/05/2017;51.0;58.0;52.0;47.0;41.0;37.0;37.0;44.0;24.0;26.0
09/06/2017;48.0;59.0;41.0;51.0;46.0;22.0;38.0;31.0;27.0
09/07/2017;31.0;45.0;23.0;41.0;36.0;12.0;30.0;17.0;16.0;9.0
09/08/2017;71.0;74.0;48.0;56.0;49.0;26.0;44.0;45.0;21.0
09/09/2017;39.0;39.0;23.0;30.0;19.0;7.0;17.0;20.0;12.0;11.0
09/10/2017;29.0;31.0;19.0;21.0;19.0;9.0;15.0;13.0;9.0;9.0
09/11/2017;43.0;56.0;33.0;33.0;24.0;23.0;34.0;27.0;21.0;15.0
09/12/2017;36.0;35.0;34.0;31.0;25.0;27.0;26.0;18.0;14.0
09/13/2017;67.0;61.0;50.0;57.0;57.0;58.0;53.0;32.0;24.0
09/14/2017;66.0;69.0;56.0;44.0;49.0;59.0;58.0;47.0;36.0;23.0
09/15/2017;21.0;30.0;14.0;27.0;28.0;14.0;21.0;8.0;10.0;7.0
09/16/2017;32.0;28.0;20.0;28.0;23.0;18.0;20.0;12.0;10.0;9.0
09/17/2017;45.0;48.0;29.0;36.0;33.0;42.0;35.0;26.0;23.0;14.0
09/18/2017;51.0;56.0;41.0;34.0;33.0;41.0;37.0;30.0;18.0;19.0
09/19/2017;60.0;75.0;59.0;47.0;49.0;55.0;53.0;46.0;42.0;20.0
09/20/2017;77.0;86.0;71.0;52.0;63.0;66.0;62.0;55.0;39.0;23.0
09/21/2017;81.0;102.0;72.0;57.0;71.0;79.0;71.0;65.0;60.0;28.0
09/22/2017;65.0;68.0;39.0;44.0;41.0;47.0;46.0;33.0;34.0;13.0
09/23/2017;52.0;62.0;48.0;39.0;39.0;45.0;40.0;38.0;28.0;16.0
09/24/2017;61.0;86.0;53.0;43.0;53.0;61.0;60.0;52.0;51.0;21.0
09/25/2017;58.0;76.0;44.0;37.0;44.0;52.0;51.0;39.0;38.0;36.0
